Manufacturer,Mark,price,Engine_capacity,Gearbox,Hurd,Type,Color,Year_of_manufacture,Year_of_entry,Engine,Interior_color,Leasing,Drive,Mileage,Conditions,Gate
Toyota,Prius 30,14500000,1.8,Автомат,Буруу,Суудлын тэрэг,Хар,2011,2018,Хайбрид,Саарал,Лизинггүй,Урдаа FWD,153600,Дугаар авсан,4
Toyota,Crown,48000000,2.5,Автомат,Буруу,Суудлын тэрэг,Цагаан,2012,2022,Бензин,Цагаан шар,Лизинггүй,Хойноо RWD,88,Дугаар авсан,5
Lexus,HS,26500000,2.4,Автомат,Зөв,Суудлын тэрэг,Хөх,2009,2021,Бензин,Шаргал,Лизинггүй,Урдаа FWD,125000,Дугаар авсан,4
Toyota,Land Cruiser 300,265000000,3.4,Автомат,Зөв,Жийп,Хар,2022,2022,Дизель,Цагаан шар,Лизинггүй,Бүх дугуй 4WD,8000,Дугаар авсан,5
Lexus,RX,45000000,2.4,Автомат,Зөв,Суудлын тэрэг,Цагаан,2022,2023,Бензин,Хар,Лизинггүй,Бүх дугуй 4WD,1200,Дугаар авсан,4
Автомашин зарна,Бусад,59000000,1.5,Автомат,Зөв,Суудлын тэрэг,Хар,2023,2023,Бензин,Бусад,Лизинггүй,Урдаа FWD,12000,Дугаар авсан,5
Toyota,Alphard,32000000,2.5,Автомат,Буруу,Гэр бүлийн,Цэнхэр,2008,2022,Хайбрид,Саарал,Лизинггүй,Урдаа FWD,198555,Дугаар аваагүй,4
Toyota,Hilux,46000000,2.7,Автомат,Буруу,Жийп,Хар,2007,2022,Бензин,Хар,Лизинггүй,Бүх дугуй 4WD,130000,Дугаар авсан,5
Land Rover,Range Rover,55000000,4.2,Автомат,Зөв,Жийп,Хөх,2004,2011,Бензин,Цагаан шар,Лизинггүй,Бүх дугуй 4WD,102000,Дугаар авсан,5
Toyota,Hilux,39000000,4.0,Автомат,Зөв,Жийп,Хүрэн,2022,2023,Бензин,Хар,ББСБ лизингтэй,Бүх дугуй 4WD,8000,Дугаар авсан,4
BMW,3-сери,15000000,2.0,Автомат,Зөв,Суудлын тэрэг,Хөх,2017,2020,Бензин,Бор,Лизинггүй,Хойноо RWD,89000,Дугаар авсан,5
Toyota,Prius 30,18500000,1.8,Автомат,Буруу,Суудлын тэрэг,Саарал,2010,2018,Бензин,Хар,Лизинггүй,Хойноо RWD,150,Дугаар авсан,5
Subaru,Forester,62000000,2.0,Автомат,Буруу,Суудлын тэрэг,Саарал,2011,2020,Бензин,Хар,Банкны лизингтэй,Бүх дугуй 4WD,130000,Дугаар авсан,4
Toyota,Probox,21000000,1.5,Автомат,Буруу,Суудлын тэрэг,Саарал,2018,2023,Бензин,Хар,ББСБ лизингтэй,Бүх дугуй 4WD,176266,Дугаар аваагүй,5
Toyota,Hilux,45800000,2.7,Автомат,Буруу,Жийп,Сувдан цагаан,2008,2023,Бензин,Саарал,ББСБ лизингтэй,Бүх дугуй 4WD,120000,Дугаар авсан,5
Lexus,LX,520000000,4.7,Автомат,Зөв,Жийп,Саарал,2006,2012,Бензин,Саарал,Лизинггүй,Бүх дугуй 4WD,150000,Дугаар авсан,4
Автомашин зарна,Бусад,8000000,2.8,Механик,Зөв,Гэр бүлийн,Цагаан,2008,2008,Дизель,Саарал,Лизинггүй,Хойноо RWD,100000,Дугаар авсан,3
Lexus,RX,52000000,3.5,Автомат,Зөв,Жийп,Улаан,2016,2023,Бензин,Хар,ББСБ лизингтэй,Бүх дугуй 4WD,89677,Дугаар авсан,5
Lexus,RX,66000000,3.5,Автомат,Буруу,Жийп,Хар,2009,2022,Хайбрид,Саарал,ББСБ лизингтэй,Бүх дугуй 4WD,148515,Дугаар авсан,5
Volkswagen,Touareg,8500000,3.6,Автомат,Зөв,Жийп,Бор,2008,2014,Бензин,Хар,Лизинггүй,Бүх дугуй 4WD,160000,Дугаар авсан,4
Toyota,"Prius 40, 41",25500000,1.8,Автомат,Буруу,Суудлын тэрэг,Хар,2012,2022,Хайбрид,Саарал,Лизинггүй,Урдаа FWD,24,Дугаар авсан,5
Lexus,LX,290000000,5.7,Автомат,Зөв,Жийп,Сувдан цагаан,2014,2014,Бензин,Цагаан шар,Хувь лизингтэй,Бүх дугуй 4WD,60000,Дугаар авсан,5
Toyota,Prius 30,22900000,1.8,Автомат,Буруу,Суудлын тэрэг,Саарал,2010,2019,Бензин,Хар,Лизинггүй,Хойноо RWD,26,Дугаар авсан,5
Toyota,Prius 30,19300000,1.8,Автомат,Буруу,Суудлын тэрэг,Цагаан,2011,2020,Бензин,Хар,Лизинггүй,Урдаа FWD,1,Дугаар авсан,4
Toyota,Prius 30,24000000,1.8,Автомат,Буруу,Суудлын тэрэг,Саарал,2009,2019,Хайбрид,Саарал,ББСБ лизингтэй,Урдаа FWD,150000,Дугаар авсан,5
Toyota,Corolla,7500000,1.5,Механик,Буруу,Суудлын тэрэг,Саарал,2002,2011,Бензин,Саарал,Лизинггүй,Урдаа FWD,235000,Дугаар авсан,4
Toyota,Prius 30,16500000,1.8,Автомат,Буруу,Суудлын тэрэг,Хар,2014,2023,Бензин,Хар,Лизинггүй,Урдаа FWD,125426,Дугаар авсан,4
Lexus,RX,155000000,3.5,Автомат,Буруу,Жийп,Хар,2014,2023,Хайбрид,Хар,Банкны лизингтэй,Урдаа FWD,102000,Дугаар аваагүй,5
Nissan,Wingroad,8500000,1.5,Автомат,Буруу,Суудлын тэрэг,Саарал,2014,2020,Бензин,Хар,Лизинггүй,Урдаа FWD,0,Дугаар авсан,5
Toyota,Prius 30,16500000,1.5,Автомат,Буруу,Суудлын тэрэг,Саарал,2009,2019,Бензин,Саарал,Лизинггүй,Хойноо RWD,1234,Дугаар авсан,5
Hyundai,Sonata,8000000,2.0,Автомат,Зөв,Суудлын тэрэг,Саарал,2012,2019,Газ,Хар,Лизинггүй,Урдаа FWD,2000000,Дугаар авсан,4
Toyota,Harrier,23500000,3.3,Автомат,Буруу,Жийп,Саарал,2005,2016,Хайбрид,Хар,Лизинггүй,Бүх дугуй 4WD,16000000,Дугаар авсан,5
Toyota,bB,8500000,1.5,Автомат,Буруу,Суудлын тэрэг,Саарал,2010,2019,Бензин,Хар,Лизинггүй,Урдаа FWD,98000,Дугаар авсан,5
Toyota,Premio,8800000,1.8,Автомат,Буруу,Суудлын тэрэг,Саарал,2004,2014,Бензин,Саарал,Лизинггүй,Бүх дугуй 4WD,200000,Дугаар авсан,4
Volkswagen,Touareg,65000000,3.0,Автомат,Зөв,Жийп,Улаан,2020,2021,Бензин,Хар,ББСБ лизингтэй,Бүх дугуй 4WD,40000,Дугаар авсан,5
Toyota,"Prius 40, 41",20500000,2.5,Автомат,Буруу,Суудлын тэрэг,Цагаан,2012,2023,Хайбрид,Саарал,Лизинггүй,Урдаа FWD,193,Дугаар авсан,5
Toyota,"Prius 40, 41",30000000,1.8,Автомат,Буруу,Гэр бүлийн,Хар,2014,2020,Хайбрид,Хар,Лизинггүй,Урдаа FWD,120000,Дугаар авсан,4
Toyota,Prius 20,16500000,1.5,Автомат,Буруу,Суудлын тэрэг,Сувдан цагаан,2009,2016,Хайбрид,Шаргал,Лизинггүй,Урдаа FWD,111111,Дугаар авсан,4
Subaru,Forester,13500000,2.0,Автомат,Буруу,Суудлын тэрэг,Цагаан,2010,2019,Бензин,Хар,Лизинггүй,Бүх дугуй 4WD,130000,Дугаар авсан,5
Toyota,Sai,19000000,2.4,Автомат,Буруу,Суудлын тэрэг,Саарал,2014,2023,Хайбрид,Бор,ББСБ лизингтэй,Урдаа FWD,130000,Дугаар аваагүй,5
SsangYong,Istana,3800000,2.0,Механик,Зөв,Гэр бүлийн,Ногоон,2003,2012,Дизель,Бор,Лизинггүй,Хойноо RWD,150000,Дугаар авсан,4
Lexus,HS,33000000,2.4,Автомат,Буруу,Суудлын тэрэг,Бор,2015,2023,Хайбрид,Шаргал,ББСБ лизингтэй,Урдаа FWD,83900,Дугаар аваагүй,4
Toyota,Sai,21000000,2.4,Автомат,Буруу,Суудлын тэрэг,Хар,2011,2023,Хайбрид,Цагаан шар,ББСБ лизингтэй,Урдаа FWD,140000,Дугаар аваагүй,4
Hyundai,Sonata,35000000,2.0,Механик,Зөв,Суудлын тэрэг,Хар,2013,2020,Газ,Хар,Лизинггүй,Урдаа FWD,111111,Дугаар авсан,4
Lexus,LX,520000000,5.7,Автомат,Зөв,Жийп,Саарал,2010,2013,Бензин,Хар,Лизинггүй,Бүх дугуй 4WD,120000,Дугаар авсан,4
Subaru,Forester,16000000,2.0,Механик,Буруу,Гэр бүлийн,Саарал,2004,2014,Бензин,Хар,Лизинггүй,Бүх дугуй 4WD,1,Дугаар авсан,5
Audi,Q5,35000000,2.0,Автомат,Буруу,Жийп,Хөх,2017,2023,Бензин,Хар,Банкны лизингтэй,Бүх дугуй 4WD,127000,Дугаар аваагүй,5
Subaru,Forester,35000000,2.0,Автомат,Буруу,Жийп,Хар,2014,2021,Бензин,Хар,Лизинггүй,Бүх дугуй 4WD,100000,Дугаар авсан,5
Toyota,Prius 30,17000000,1.8,Автомат,Буруу,Суудлын тэрэг,Саарал,2011,2022,Бензин,Хар,Лизинггүй,Урдаа FWD,200,Дугаар авсан,5
Toyota,4Runner,125000000,4.0,Автомат,Зөв,Жийп,Хар саарал,2016,2019,Бензин,Хар,Лизинггүй,Бүх дугуй 4WD,158,Дугаар авсан,5
Lexus,GS,45000000,3.5,Автомат,Буруу,Суудлын тэрэг,Сувдан цагаан,2012,2022,Хайбрид,Хар,Лизинггүй,Хойноо RWD,233711,Дугаар авсан,4
Lexus,IS,49000000,2.0,Автомат,Буруу,Суудлын тэрэг,Хар саарал,2017,2020,Бензин,Хар,Лизинггүй,Хойноо RWD,560000,Дугаар авсан,4
Toyota,Aqua,15300000,1.5,Автомат,Буруу,Суудлын тэрэг,Цэнхэр,2014,2023,Хайбрид,Бусад,ББСБ лизингтэй,Урдаа FWD,47000,Дугаар аваагүй,5
Audi,A3,16000000,2.0,Автомат,Зөв,Суудлын тэрэг,Цагаан,2018,2020,Бензин,Хар,Лизинггүй,Урдаа FWD,35000,Дугаар авсан,5
Toyota,Land Cruiser Prado,75000000,2.7,Автомат,Буруу,Жийп,Хар,2013,2023,Бензин,Хар,ББСБ лизингтэй,Бүх дугуй 4WD,89000,Дугаар аваагүй,5
Toyota,Alphard,78000000,2.4,Автомат,Буруу,Гэр бүлийн,Хар,2006,2022,Хайбрид,Хар,ББСБ лизингтэй,Бүх дугуй 4WD,200000,Дугаар авсан,5
Toyota,Prius 20,8800000,0.5,Автомат,Буруу,Суудлын тэрэг,Цагаан,2006,2019,Хайбрид,Шаргал,Лизинггүй,Урдаа FWD,220000,Дугаар авсан,4
Toyota,"Prius 40, 41",23500000,1.8,Автомат,Буруу,Суудлын тэрэг,Сувдан цагаан,2014,2023,Бензин,Саарал,Лизинггүй,Урдаа FWD,240000,Дугаар авсан,5
Toyota,Aqua,15600000,1.5,Автомат,Буруу,Суудлын тэрэг,Улбар шар,2014,2023,Хайбрид,Бусад,Лизинггүй,Урдаа FWD,90000,Дугаар аваагүй,4
Lexus,RX,52000000,3.5,Автомат,Буруу,Жийп,Цагаан,2009,2023,Хайбрид,Хар,ББСБ лизингтэй,Бүх дугуй 4WD,132000,Дугаар аваагүй,5
Toyota,Vellfire,44000000,2.4,Автомат,Буруу,Гэр бүлийн,Цагаан,2012,2021,Хайбрид,Хар,Лизинггүй,Бүх дугуй 4WD,209702,Дугаар авсан,5
Lexus,LX,55000000,5.7,Автомат,Зөв,Жийп,Бусад,2018,2023,Бензин,Цагаан шар,Лизинггүй,Бүх дугуй 4WD,100000,Дугаар аваагүй,5
Toyota,Prius 20,12000000,1.5,Автомат,Буруу,Суудлын тэрэг,Саарал,2004,2017,Хайбрид,Хар,Лизинггүй,Урдаа FWD,150,Дугаар авсан,5
Nissan,Juke,19500000,1.5,Автомат,Буруу,Суудлын тэрэг,Цэнхэр,2012,2021,Бензин,Хар,Лизинггүй,Урдаа FWD,8888888,Дугаар авсан,4
Toyota,Crown,38500000,2.5,Автомат,Буруу,Суудлын тэрэг,Хар,2014,2023,Хайбрид,Хар,ББСБ лизингтэй,Хойноо RWD,128000,Дугаар авсан,5
Toyota,Prius 30,16500000,1.8,Автомат,Буруу,Суудлын тэрэг,Цагаан,2010,2019,Бензин,Саарал,Лизинггүй,Урдаа FWD,230000,Дугаар авсан,5
Toyota,Prius 30,25300000,1.8,Автомат,Буруу,Суудлын тэрэг,Хар,2012,2020,Бензин,Хар,Лизинггүй,Урдаа FWD,205000,Дугаар авсан,5
Toyota,"Prius 40, 41",30000000,1.8,Автомат,Буруу,Суудлын тэрэг,Сувдан цагаан,2013,2021,Хайбрид,Хар,Лизинггүй,Урдаа FWD,150000,Дугаар авсан,5
Hyundai,Starex,6000000,2.5,Автомат,Зөв,Гэр бүлийн,Саарал,2012,2023,Дизель,Саарал,Лизинггүй,Хойноо RWD,95000,Дугаар аваагүй,5
Toyota,Land Cruiser Prado,95000000,2.7,Автомат,Зөв,Жийп,Хар,2018,2018,Бензин,Цагаан шар,Лизинггүй,Бүх дугуй 4WD,54100,Дугаар авсан,5
Toyota,Harrier,73000000,2.5,Автомат,Буруу,Жийп,Цагаан,2018,2023,Бензин,Бор,Хувь лизингтэй,Урдаа FWD,80000,Дугаар авсан,5
Toyota,Land Cruiser Prado,57000000,3.0,Автомат,Буруу,Жийп,Цэнхэр,1998,2008,Бензин,Саарал,Лизинггүй,Бүх дугуй 4WD,270000,Дугаар авсан,5
Toyota,Premio,14800000,1.5,Автомат,Буруу,Суудлын тэрэг,Шар,2006,2015,Бензин,Шаргал,Лизинггүй,Урдаа FWD,125000,Дугаар авсан,5
Toyota,"Prius 40, 41",32300000,1.8,Автомат,Буруу,Суудлын тэрэг,Хар,2011,2023,Хайбрид,Саарал,ББСБ лизингтэй,Урдаа FWD,140,Дугаар аваагүй,5
Toyota,Prius 30,16500000,2.3,Автомат,Буруу,Суудлын тэрэг,Саарал,2014,2023,Хайбрид,Хар,Лизинггүй,Урдаа FWD,10,Дугаар аваагүй,4
Toyota,Land Cruiser Prado,95000000,2.7,Автомат,Буруу,Жийп,Сувдан цагаан,2006,2015,Бензин,Бусад,Лизинггүй,Бүх дугуй 4WD,111111,Дугаар авсан,5
Toyota,Land Cruiser 200,65000000,4.0,Автомат,Зөв,Жийп,Хар,2018,2019,Бензин,Цагаан шар,Лизинггүй,Бүх дугуй 4WD,70000,Дугаар авсан,4
BMW,5-сери,88000000,3.0,Автомат,Зөв,Суудлын тэрэг,Цагаан,2011,2019,Бензин,Хар,Лизинггүй,Урдаа FWD,170,Дугаар авсан,4
Toyota,Van,155000000,3.5,Автомат,Зөв,Гэр бүлийн,Хар саарал,2021,2022,Бензин,Хар,Лизинггүй,Хойноо RWD,16800,Дугаар авсан,5
Toyota,Spacio,3900000,1.5,Автомат,Буруу,Суудлын тэрэг,Шар,2002,2011,Бензин,Бор,Лизинггүй,Урдаа FWD,200000,Дугаар авсан,4
Toyota,Vellfire,39000000,3.5,Автомат,Буруу,Гэр бүлийн,Хар,2010,2019,Бензин,Хар,Лизинггүй,Бүх дугуй 4WD,165000,Дугаар авсан,4
Toyota,Vanguard ,21000000,2.4,Автомат,Буруу,Жийп,Хар,2010,2019,Бензин,Хар,Лизинггүй,Урдаа FWD,120000,Дугаар авсан,5
Toyota,Land Cruiser 200,190000000,4.7,Автомат,Зөв,Жийп,Бор,2017,2018,Дизель,Шаргал,ББСБ лизингтэй,Бүх дугуй 4WD,97000,Дугаар авсан,5
Hyundai,Starex,8000000,2.4,Автомат,Зөв,Гэр бүлийн,Хар,2007,2020,Дизель,Саарал,Лизинггүй,Урдаа FWD,200000,Дугаар авсан,5
Lexus,RX,53700000,3.5,Автомат,Зөв,Жийп,Саарал,2009,2019,Хайбрид,Хар,Лизинггүй,Урдаа FWD,150000,Дугаар авсан,4
Toyota,Axio,17000000,1.5,Автомат,Буруу,Суудлын тэрэг,Цагаан,2014,2020,Хайбрид,Бусад,Банкны лизингтэй,Урдаа FWD,105000,Дугаар авсан,4
Mitsubishi,Delica,42000000,2.4,Автомат,Буруу,Гэр бүлийн,Саарал,2009,2018,Бензин,Хар,Лизинггүй,Бүх дугуй 4WD,186000,Дугаар авсан,5
Mitsubishi,RVR,31000000,2.0,Автомат,Буруу,Жийп,Саарал,2021,2023,Бензин,Хар,Лизинггүй,Урдаа FWD,25000,Дугаар аваагүй,5
Toyota,Land Cruiser 200,190000000,4.5,Автомат,Зөв,Жийп,Хар,2013,2013,Дизель,Хар,Лизинггүй,Бүх дугуй 4WD,120000,Дугаар авсан,5
Toyota,Alphard,98000000,2.4,Автомат,Буруу,Гэр бүлийн,Хар,2016,2023,Бензин,Хар,ББСБ лизингтэй,Урдаа FWD,120,Дугаар аваагүй,5
Toyota,Land Cruiser 200,180000000,4.0,Механик,Зөв,Жийп,Саарал,2008,2010,Бензин,Хар,Лизинггүй,Бүх дугуй 4WD,300000,Дугаар авсан,5
SsangYong,Musso,50000000,2.6,Автомат,Зөв,Жийп,Хар,2004,2022,Дизель,Саарал,Лизинггүй,Бүх дугуй 4WD,200,Дугаар авсан,5
Toyota,Crown,25500000,2.0,Автомат,Буруу,Суудлын тэрэг,Хар,2016,2020,Бензин,Хар,Лизинггүй,Бүх дугуй 4WD,150000,Дугаар авсан,4
Lexus,RX,135000000,3.3,Автомат,Зөв,Жийп,Хар,2007,2015,Хайбрид,Хар,Лизинггүй,Бүх дугуй 4WD,99000,Дугаар авсан,4
Lexus,RX,127000000,3.5,Автомат,Буруу,Жийп,Хар,2012,2023,Хайбрид,Хар,ББСБ лизингтэй,Урдаа FWD,165000,Дугаар аваагүй,5
Toyota,Ractis,22000000,1.3,Автомат,Буруу,Суудлын тэрэг,Улаан,2014,2016,Бензин,Саарал,Лизинггүй,Урдаа FWD,100000,Дугаар авсан,4
Lexus,HS,27000000,2.4,Автомат,Буруу,Суудлын тэрэг,Хар,2010,2019,Хайбрид,Хар,Лизинггүй,Урдаа FWD,190000,Дугаар авсан,5
Lexus,RX,42000000,3.5,Автомат,Зөв,Жийп,Бусад,2007,2011,Бензин,Шаргал,Лизинггүй,Бүх дугуй 4WD,69555,Дугаар авсан,5
Toyota,Land Cruiser 200,160000000,4.6,Автомат,Зөв,Жийп,Хар,2016,2017,Бензин,Саарал,ББСБ лизингтэй,Бүх дугуй 4WD,120000,Дугаар авсан,5
Toyota,Land Cruiser Prado,105000000,2.7,Автомат,Буруу,Жийп,Хар,2014,2023,Бензин,Хар,Банкны лизингтэй,Бүх дугуй 4WD,136000,Дугаар авсан,5
Toyota,Highlander,61000000,3.5,Автомат,Зөв,Жийп,Хар саарал,2019,2022,Бензин,Хар,ББСБ лизингтэй,Урдаа FWD,70000,Дугаар авсан,5
Lexus,RX,110000000,3.5,Автомат,Зөв,Жийп,Хар,2017,2023,Хайбрид,Бор,Банкны лизингтэй,Бүх дугуй 4WD,85500,Дугаар аваагүй,5
Toyota,Prius 20,14800000,1.5,Автомат,Буруу,Суудлын тэрэг,Саарал,2004,2015,Хайбрид,Хар,Лизинггүй,Урдаа FWD,25,Дугаар авсан,5
Toyota,Aqua,13000000,0.5,Автомат,Буруу,Суудлын тэрэг,Хар,2012,2022,Бензин,Саарал,ББСБ лизингтэй,Урдаа FWD,20000000,Дугаар авсан,4
Toyota,Prius 30,17500000,1.8,Автомат,Буруу,Суудлын тэрэг,Цэнхэр,2009,2016,Бензин,Хар,Лизинггүй,Урдаа FWD,220,Дугаар авсан,5
Toyota,Crown,24500000,3.5,Автомат,Буруу,Суудлын тэрэг,Цайвар цэнхэр,2008,2023,Хайбрид,Саарал,ББСБ лизингтэй,Хойноо RWD,103000,Дугаар аваагүй,4
Toyota,Alphard,13000000,2.4,Автомат,Буруу,Гэр бүлийн,Сувдан цагаан,2010,2020,Бензин,Хар,Лизинггүй,Урдаа FWD,1650000,Дугаар авсан,5
Toyota,Allion,12800000,1.8,Автомат,Буруу,Суудлын тэрэг,Хүрэн,2006,2016,Бензин,Шаргал,ББСБ лизингтэй,Бүх дугуй 4WD,180,Дугаар авсан,5
Toyota,Camry,9000000,2.4,Автомат,Буруу,Суудлын тэрэг,Сувдан цагаан,2012,2019,Бензин,Хар,Лизинггүй,Урдаа FWD,145300,Дугаар авсан,5
Lexus,GS,48000000,3.5,Автомат,Буруу,Суудлын тэрэг,Хар,2011,2018,Хайбрид,Хар,Лизинггүй,Хойноо RWD,200000,Дугаар авсан,5
Mercedes-Benz,E-Class,35000000,3.0,Автомат,Зөв,Суудлын тэрэг,Хар,2010,2021,Бензин,Хар,ББСБ лизингтэй,Хойноо RWD,200000,Дугаар авсан,5
Toyota,Prius 20,12700000,1.5,Автомат,Буруу,Суудлын тэрэг,Саарал,2007,2019,Бензин,Бусад,Лизинггүй,Урдаа FWD,180000,Дугаар авсан,5
Nissan,Elgrand,45000000,2.5,Автомат,Буруу,Гэр бүлийн,Цагаан,2011,2021,Бензин,Хар,Банкны лизингтэй,Бүх дугуй 4WD,241000,Дугаар авсан,5
Toyota,Prius 30,20500000,1.8,Автомат,Буруу,Суудлын тэрэг,Хар,2014,2020,Хайбрид,Хар,Лизинггүй,Урдаа FWD,150000,Дугаар авсан,5
Toyota,Harrier,16900000,2.4,Автомат,Буруу,Жийп,Хар,2014,2022,Хайбрид,Хар,Лизинггүй,Бүх дугуй 4WD,1111111,Дугаар авсан,5
Toyota,Prius 20,16000000,1.9,Автомат,Буруу,Суудлын тэрэг,Улаан,2007,2020,Бензин,Шаргал,Лизинггүй,Бүх дугуй 4WD,1800,Дугаар авсан,5
Toyota,Land Cruiser 200,180000000,4.0,Автомат,Зөв,Жийп,Хар саарал,2011,2011,Бензин,Хар,Лизинггүй,Бүх дугуй 4WD,170,Дугаар авсан,5
Toyota,Prius 30,22200000,1.8,Автомат,Буруу,Суудлын тэрэг,Ягаан,2010,2018,Хайбрид,Хар,Лизинггүй,Урдаа FWD,150,Дугаар авсан,4
Toyota,Harrier,32600000,3.3,Автомат,Буруу,Жийп,Хар,2005,2020,Хайбрид,Хар,Лизинггүй,Бүх дугуй 4WD,199000,Дугаар авсан,5
Toyota,Land Cruiser Prado,62000000,2.7,Автомат,Буруу,Жийп,Хар,2014,2023,Бензин,Саарал,Лизинггүй,Урдаа FWD,115000,Дугаар авсан,4
Toyota,Highlander,65000000,3.3,Автомат,Зөв,Жийп,Ногоон,2008,2022,Хайбрид,Саарал,ББСБ лизингтэй,Бүх дугуй 4WD,280000,Дугаар авсан,5
Toyota,Kluger,23000000,3.3,Автомат,Буруу,Суудлын тэрэг,Саарал,2005,2022,Хайбрид,Хар,Лизинггүй,Бүх дугуй 4WD,111,Дугаар авсан,5
Lexus,LX,85000000,5.7,Автомат,Зөв,Жийп,Хар,2014,2020,Бензин,Бор,Лизинггүй,Бүх дугуй 4WD,1,Дугаар авсан,5
Toyota,Prius 30,22900000,1.8,Автомат,Буруу,Суудлын тэрэг,Саарал,2015,2020,Бензин,Саарал,Лизинггүй,Урдаа FWD,200000,Дугаар авсан,4
Toyota,Prius 30,18500000,3.0,Автомат,Буруу,Суудлын тэрэг,Саарал,2011,2021,Бензин,Саарал,Банкны лизингтэй,Урдаа FWD,99000,Дугаар авсан,4
Toyota,Estima,5500000,2.4,Автомат,Буруу,Гэр бүлийн,Сувдан цагаан,2008,2018,Хайбрид,Шаргал,ББСБ лизингтэй,Бүх дугуй 4WD,250000,Дугаар авсан,5
Mazda,Bongo,17500000,1.8,Автомат,Буруу,Жийп,Сувдан цагаан,2010,2023,Бензин,Саарал,Лизинггүй,Урдаа FWD,102811,Дугаар аваагүй,5
Nissan,X-Trail,7800000,1.9,Автомат,Буруу,Жийп,Хар,2004,2011,Бензин,Хар,Лизинггүй,Бүх дугуй 4WD,197,Дугаар авсан,5
Toyota,Prius 20,15500000,1.5,Автомат,Буруу,Суудлын тэрэг,Бусад,2004,2017,Хайбрид,Цагаан шар,ББСБ лизингтэй,Урдаа FWD,190000,Дугаар авсан,5
Toyota,Land Cruiser 80,30000000,4.2,Автомат,Буруу,Жийп,Ногоон,1995,2011,Дизель,Саарал,Лизинггүй,Бүх дугуй 4WD,0,Дугаар авсан,5
Hyundai,Terracan,15000000,0.4,Механик,Зөв,Гэр бүлийн,Цайвар цэнхэр,1999,2013,Дизель,Хар,Лизинггүй,Хойноо RWD,212000,Дугаар авсан,2
Suzuki,SX4,4000000,1.5,Автомат,Буруу,Суудлын тэрэг,Цагаан,2010,2020,Бензин,Хар,Лизинггүй,Урдаа FWD,135000,Дугаар авсан,5
BMW,X3,10000000,2.5,Автомат,Зөв,Жийп,Бусад,2008,2009,Бензин,Саарал,Хувь лизингтэй,Бүх дугуй 4WD,150,Дугаар авсан,5
Toyota,Highlander,61000000,3.5,Автомат,Зөв,Жийп,Хар,2010,2019,Бензин,Шаргал,Лизинггүй,Урдаа FWD,200000,Дугаар авсан,5
BMW,3-сери,44900000,2.0,Автомат,Буруу,Суудлын тэрэг,Цэнхэр,2014,2022,Дизель,Хар,Банкны лизингтэй,Хойноо RWD,99999,Дугаар авсан,4
Nissan,Xterra,13500000,3.3,Автомат,Зөв,Жийп,Хар,2002,2008,Бензин,Саарал,Лизинггүй,Бүх дугуй 4WD,138135,Дугаар авсан,5
Toyota,"Prius 40, 41",33000000,1.8,Автомат,Буруу,Суудлын тэрэг,Саарал,2011,2020,Бензин,Бусад,Лизинггүй,Урдаа FWD,10,Дугаар авсан,5
Toyota,Harrier,55000000,2.4,Автомат,Буруу,Жийп,Хар,2010,2022,Бензин,Хар,Лизинггүй,Бүх дугуй 4WD,130000,Дугаар авсан,5
BMW,3-сери,20000000,2.5,Автомат,Буруу,Суудлын тэрэг,Цагаан,2009,2019,Бензин,Цагаан шар,Лизинггүй,Хойноо RWD,180000,Дугаар авсан,5
Lexus,NX,56000000,2.4,Автомат,Буруу,Жийп,Сувдан цагаан,2016,2023,Бензин,Хар,Банкны лизингтэй,Бүх дугуй 4WD,120,Дугаар авсан,5
Toyota,Harrier,33000000,2.4,Автомат,Буруу,Жийп,Цэнхэр,2004,2014,Бензин,Саарал,Лизинггүй,Бүх дугуй 4WD,187000,Дугаар авсан,5
Toyota,Prius 20,12000000,1.5,Автомат,Буруу,Суудлын тэрэг,Хөх,2004,2017,Бензин,Саарал,Лизинггүй,Урдаа FWD,2000000,Дугаар авсан,4
Mercedes-Benz,E-Class,35000000,3.5,Автомат,Зөв,Суудлын тэрэг,Саарал,2015,2023,Бензин,Хар,ББСБ лизингтэй,Бүх дугуй 4WD,0,Дугаар аваагүй,4
Toyota,Vellfire,38000000,2.4,Автомат,Буруу,Гэр бүлийн,Сувдан цагаан,2012,2022,Хайбрид,Цагаан шар,Лизинггүй,Бүх дугуй 4WD,174000,Дугаар авсан,5
Toyota,Camry,38000000,2.0,Автомат,Буруу,Суудлын тэрэг,Хар саарал,2017,2021,Бензин,Хар,Лизинггүй,Урдаа FWD,80000,Дугаар авсан,5
Toyota,Estima,9000000,2.3,Автомат,Буруу,Гэр бүлийн,Хар,2002,2014,Хайбрид,Хар,Лизинггүй,Бүх дугуй 4WD,1,Дугаар авсан,5
Toyota,Aqua,15200000,1.5,Автомат,Буруу,Суудлын тэрэг,Улаан,2013,2018,Хайбрид,Хар,Лизинггүй,Урдаа FWD,0,Дугаар авсан,5
Toyota,Crown,46800000,2.5,Автомат,Буруу,Суудлын тэрэг,Хар,2018,2023,Хайбрид,Хар,Лизинггүй,Хойноо RWD,1000000,Дугаар аваагүй,5
Toyota,Land Cruiser 200,69000000,4.5,Автомат,Зөв,Жийп,Хар,2015,2015,Дизель,Шаргал,Лизинггүй,Бүх дугуй 4WD,125000,Дугаар авсан,5
