Manufacturer,Mark,price,Engine_capacity,Gearbox,Hurd,Type,Color,Year_of_manufacture,Year_of_entry,Engine,Interior_color,Leasing,Drive,Mileage,Conditions,Gate
Nissan,X-Trail,28000000,1.6,Автомат,Буруу,Жийп,Цайвар цэнхэр,2015,2020,Дизель,Хар,ББСБ лизингтэй,Урдаа FWD,143000,Дугаар авсан,5
Toyota,Harrier,21000000,3.3,Автомат,Буруу,Жийп,Бор,2005,2021,Хайбрид,Хар,Лизинггүй,Бүх дугуй 4WD,84000,Дугаар авсан,5
Toyota,Harrier,30000000,3.3,Автомат,Буруу,Жийп,Саарал,2005,2023,Хайбрид,Хар,Банкны лизингтэй,Бүх дугуй 4WD,180000,Дугаар аваагүй,5
Mitsubishi,Montero,140000000,3.0,Автомат,Зөв,Жийп,Цайвар цэнхэр,2021,2022,Бензин,Хар,Банкны лизингтэй,Бүх дугуй 4WD,0,Дугаар аваагүй,5
Toyota,Crown,49000000,2.0,Автомат,Буруу,Суудлын тэрэг,Цагаан,2003,2012,Бензин,Саарал,Лизинггүй,Хойноо RWD,185000,Дугаар авсан,4
Toyota,Prius 20,12000000,1.5,Автомат,Буруу,Суудлын тэрэг,Улаан,2007,2015,Бензин,Бусад,Лизинггүй,Урдаа FWD,270000,Дугаар авсан,5
Toyota,Sienta,7700000,1.5,Автомат,Буруу,Суудлын тэрэг,Саарал,2018,2023,Бензин,Хар,Лизинггүй,Урдаа FWD,111111111,Дугаар авсан,5
Toyota,Mark,5800000,2.4,Автомат,Буруу,Гэр бүлийн,Ногоон,2010,2019,Бензин,Бусад,Лизинггүй,Урдаа FWD,240000,Дугаар авсан,5
Mercedes-Benz,GLK-Class,47000000,3.0,Автомат,Зөв,Жийп,Хүрэн,2010,2011,Бензин,Шаргал,Лизинггүй,Бүх дугуй 4WD,99900,Дугаар авсан,5
Toyota,Harrier,37800000,3.3,Автомат,Буруу,Жийп,Саарал,2008,2023,Хайбрид,Хар,Лизинггүй,Бүх дугуй 4WD,175246,Дугаар авсан,5
Toyota,Harrier,20000000,3.3,Автомат,Буруу,Жийп,Саарал,2006,2020,Бензин,Бусад,ББСБ лизингтэй,Бүх дугуй 4WD,180000,Дугаар авсан,5
Lexus,RX,87000000,3.5,Автомат,Зөв,Жийп,Хар,2017,2021,Хайбрид,Бор,Лизинггүй,Бүх дугуй 4WD,63000,Дугаар авсан,5
Toyota,Harrier,20000000,2.4,Автомат,Буруу,Жийп,Хар,2014,2021,Хайбрид,Хар,Банкны лизингтэй,Бүх дугуй 4WD,180000,Дугаар авсан,5
Toyota,Harrier,23000000,2.4,Автомат,Буруу,Жийп,Хар,2008,2018,Бензин,Хар,Лизинггүй,Урдаа FWD,50,Дугаар авсан,5
Toyota,"Prius 40, 41",23500000,1.8,Автомат,Буруу,Гэр бүлийн,Хар,2012,2019,Хайбрид,Хар,Лизинггүй,Урдаа FWD,200000,Дугаар авсан,5
Toyota,Hiace,23000000,2.5,Автомат,Буруу,Гэр бүлийн,Хар,2007,2019,Дизель,Саарал,Лизинггүй,Бүх дугуй 4WD,200000,Дугаар авсан,2
Toyota,Alphard,35000000,2.4,Автомат,Буруу,Гэр бүлийн,Цагаан,2003,2017,Хайбрид,Хар,Лизинггүй,Бүх дугуй 4WD,1800000,Дугаар авсан,5
Toyota,Land Cruiser Prado,92000000,2.7,Автомат,Буруу,Жийп,Цагаан,2020,2023,Бензин,Цагаан шар,Лизинггүй,Бүх дугуй 4WD,118000,Дугаар аваагүй,5
